id,name,sex,type,term_of_office,prior_role,after_role,party,medium_type,cabinet,medium,ministry
37c,"Kinder, Familie, Flüchtlinge, Integration NRW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
38c,"Europa, Internationales, Medien/ Staatskanzlei NRW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
39c,"Wirtschaft, Innovation, Digitalisierung, Energie NRW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
40c,Kultur & Wissenschaft NRW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
41c,"Kommunales, Bau und Digitalisierung NRW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
42c,HHL Leipzig,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
43c,Finanzministerium,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
44c,Regierungssprecher,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
MGb,Matthias Gauger,1,1,2022 bis jetzt,3,NA,Grüne,NA,NA,NA,Staatsministerium BW
ABb,Arne Braun,1,1,2021 bis 2022,3,3,NA,NA,NA,NA,Staatsministerium BW
NEAb,Nadia El Almi,2,1,2016 bis jetzt,4,NA,NA,NA,NA,NA,"Ministerium des Inneren, für Kommunen und Digitalisierung BW"
CDb,Carsten Dehner,1,1,2015 bis jetzt,NA,NA,NA,NA,NA,NA,"Ministerium des Inneren, für Kommunen und Digitalisierung BW"
SEb,Sebastian Engelmann,1,1,2021 bis jetzt,1,NA,NA,1,NA,"SWR, ZDF",Finanzministerium BW
JBb,Jasmin Bühler,2,1,NA,NA,NA,NA,NA,NA,NA,Finanzministerium BW
JSb,Jochen Schönmann,1,1,2023 bis jetzt,"4,2",NA,NA,2,NA,"Spiegel online, AP, taz, Manager Magazin","Ministerium für Kultus, Jugend und Sport BW"
FSb,Fabian Schmidt,1,1,2021 bis jetzt,2,NA,NA,2,NA,Eßlinger Zeitung,"Ministerium für Kultus, Jugend und Sport BW"
RBb,Roland Böhm,1,1,2019 bis jetzt,2,NA,NA,2,NA,"dpa, General-Anzeiger Bonn","Ministerium für Wissenschaft, Forschung und Kunst BW"
MSb,Matthias Schmid,1,1,2025 bis jetzt,2,NA,NA,2,NA,SZ,"Ministerium für Wissenschaft, Forschung und Kunst BW"
SBb,Steffen Becker,1,1,NA,NA,NA,NA,NA,NA,NA,"Ministerium für Umwelt, Klima und Energiewirtschaft BW"
CHb,Claudia Hailfinger,2,1,NA,2,NA,NA,2,NA,Reutlinger General-Anzeiger,"Ministerium für Umwelt, Klima und Energiewirtschaft BW"
ASb,Armin Schulz,1,1,2021 bis jetzt,2,NA,NA,2,NA,"Schwarzwälder Bote, Bietigheimer Zeitung","Ministerium für Wirtschaft, Arbeit und Tourismus BW"
MISb,Miriam Schimmele,2,1,2022 bis jetzt,4,NA,NA,NA,NA,NA,"Ministerium für Wirtschaft, Arbeit und Tourismus BW"
MJb,Markus Jox,1,1,2016 bis jetzt,"2,3",NA,NA,2,NA,"taz, Abendzeitung","Ministerium für Soziales, Gesundheit und Integration BW"
CKb,Claudia Krüger,2,1,NA,NA,NA,Grüne,NA,NA,NA,"Ministerium für Soziales, Gesundheit und Integration BW"
AHb,Anna Härle,2,1,2022 bis 2024,5,"3,5",NA,NA,NA,NA,Ministerium der Justiz und für Migration BW
JKb,Jenna Krause,2,1,NA,NA,NA,NA,NA,NA,NA,Ministerium der Justiz und für Migration BW
BHb,Benjamin Hechler,1,1,2024 bis jetzt,6,NA,Grüne,NA,NA,NA,Verkehrsministerium BW
WBb,Wenke Böhm,2,1,2021 bis jetzt,"2,4",NA,NA,2,NA,"Stuttgarter Zeitung, dpa, Heilbronner Stimme",Verkehrsministerium BW
JEb,Jonas Esterl,1,1,NA,NA,NA,CDU,NA,NA,NA,"Ministerium für Ernährung, Ländlichen Raum und Verbraucherschutz BW"
SSb,Sebastian Schreiber,1,1,2021 bis jetzt,4,NA,NA,NA,NA,NA,"Ministerium für Ernährung, Ländlichen Raum und Verbraucherschutz BW"
RWb,Rainer Wehaus,1,1,2021 bis jetzt,2,NA,NA,2,NA,Stuttgarter Nachrichten,Ministerium für Landesentwicklung und Wohnen BW
RHb,Rudi Hoogvliet,1,1,2011 bis jetzt,6,NA,Grüne,NA,NA,NA,Staatsministerium BW
DBb,Denise Burgert,2,1,2016 bis jetzt,6,NA,NA,NA,NA,NA,"Ministerium für Wissenschaft, Forschung und Kunst BW"
AAb,Aniello Ambrosio,1,1,2024 bis 2025,6,3,CDU,NA,NA,NA,Ministerium der Justiz und für Migration BW
GCb,Dr. Gunter Carra,1,1,NA,5,3,NA,NA,NA,NA,Ministerium der Justiz und für Migration BW
ENb,Edgar Neumann,1,1,2011 bis 2024,2,NA,NA,NA,NA,dpa,Verkehrsministerium BW
BRb,Benedikt Reinhard,1,1,2021 bis jetzt,"6,2",NA,NA,2,NA,"Dr. Josef Raabe Verlag, kicker","Ministerium für Kultus, Jugend und Sport BW"
HLb,Hans Lange,1,1,2012 bis jetzt,NA,NA,NA,NA,NA,NA,"Ministerium für Kultus, Jugend und Sport BW"
BJb,Bettina Jehne,2,1,2022,2,NA,Grüne,2,NA,"Schwäbische Zeitung, Reutlinger General-Anzeiger,","Ministerium für Umwelt, Klima und Energiewirtschaft BW"
IKb,Isabel Kling,2,1,2016 bis 2023,6,3,CDU,NA,NA,NA,"Ministerium für Ernährung, Ländlichen Raum und Verbraucherschutz BW"
RSb,Robin Schray,1,1,2016 bis 2022,5,NA,CDU,NA,NA,NA,Ministerium der Justiz und für Migration BW
MEJb,Melanie Jerger,2,1,2021,NA,NA,NA,NA,NA,NA,"Ministerium für Wirtschaft, Arbeit und Tourismus BW"
KLb,Katja Lumpp,2,1,2021,NA,NA,NA,NA,NA,NA,"Ministerium für Wirtschaft, Arbeit und Tourismus BW"
RHb,Ralf Heineken,1,1,2011 bis 2022,1,4,NA,1,NA,SWR,"Ministerium für Umwelt, Klima und Energiewirtschaft BW"
CSb,Christine Sattler,2,1,2020,NA,NA,SPD,NA,NA,NA,"Ministerium für Kultus, Jugend und Sport BW"
MASb,Martina Schäfer,2,1,2019 bis 2021,NA,NA,NA,NA,NA,NA,Finanzministerium BW
AMb,Antje Mohrmann,2,1,2018 bis heute,6,NA,NA,NA,NA,NA,Finanzministerium BW
JNHb,John-Nicolas Heinemann,1,1,2019,NA,NA,NA,NA,NA,NA,Finanzministerium BW
MRb,Michaela Reiter,2,1,2019,NA,NA,NA,NA,NA,NA,Finanzministerium BW
SWb,Silke Walter,2,1,2016 bis 2021,"2,6",4,NA,2,NA,Bild,"Ministerium für Wirtschaft, Arbeit und Wohnungsbau BW"
EGb,Elena Gihr,2,1,2021,NA,NA,NA,NA,NA,NA,"Ministerium für Kultus, Jugend und Sport BW"
